Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2024-07-01,429.04998779296875,430.25,424.6499938964844,426.29998779296875,12894747
2024-07-02,425.5,430.6499938964844,422.54998779296875,430.0,10763335
2024-07-03,428.29998779296875,429.6499938964844,425.5,426.1000061035156,7159756
2024-07-04,429.04998779296875,431.5,427.04998779296875,430.0,9127340
2024-07-05,433.6499938964844,434.0,427.6000061035156,429.0,12929586
2024-07-08,443.6000061035156,444.54998779296875,433.6499938964844,435.1499938964844,20521107
2024-07-09,452.6000061035156,455.0,444.0,447.6000061035156,26470260
2024-07-10,451.45001220703125,455.3500061035156,446.5,453.70001220703125,11618210
2024-07-11,458.6499938964844,459.5,448.70001220703125,450.0,18831345
2024-07-12,459.04998779296875,463.25,455.8500061035156,458.6499938964844,18962800
2024-07-15,463.3999938964844,466.45001220703125,457.20001220703125,459.04998779296875,16251032
2024-07-16,465.54998779296875,466.75,461.3999938964844,463.45001220703125,12996711
2024-07-18,470.25,470.8999938964844,462.6499938964844,463.0,21094737
2024-07-19,474.54998779296875,479.3999938964844,469.3999938964844,471.0,24977373
2024-07-22,466.54998779296875,479.45001220703125,465.8500061035156,474.6000061035156,18066586
2024-07-23,492.20001220703125,497.3999938964844,466.3999938964844,466.54998779296875,54044423
2024-07-24,494.04998779296875,510.6499938964844,490.6499938964844,496.0,42073323
2024-07-25,489.95001220703125,496.0,484.6499938964844,490.0,17878994
2024-07-26,502.20001220703125,506.3999938964844,487.3999938964844,494.04998779296875,20736094
2024-07-29,496.04998779296875,506.20001220703125,494.04998779296875,505.5,12496895
2024-07-30,489.8999938964844,497.79998779296875,488.6499938964844,496.29998779296875,13375906
2024-07-31,495.3500061035156,497.95001220703125,490.5,492.45001220703125,11538215
2024-08-01,493.70001220703125,496.75,490.95001220703125,495.95001220703125,11665529
2024-08-02,489.1000061035156,499.45001220703125,484.79998779296875,484.79998779296875,21320064
2024-08-05,486.0,491.8999938964844,479.54998779296875,480.04998779296875,24094139
2024-08-06,486.29998779296875,491.70001220703125,484.04998779296875,486.25,13722855
2024-08-07,492.6499938964844,495.6000061035156,488.1000061035156,490.0,10900585
2024-08-08,494.75,498.0,492.5,494.0,20558134
2024-08-09,495.8999938964844,498.0,493.1000061035156,498.0,9201793
2024-08-12,494.6000061035156,500.0,492.0,492.0,9076097
2024-08-13,490.0,497.8500061035156,488.25,495.95001220703125,7757706
2024-08-14,492.20001220703125,499.0,489.8999938964844,491.95001220703125,9253598
2024-08-16,502.6499938964844,504.20001220703125,492.6499938964844,494.5,13137392
2024-08-19,501.45001220703125,509.29998779296875,499.6000061035156,504.75,10198725
2024-08-20,498.79998779296875,503.3999938964844,497.70001220703125,501.0,6633171
2024-08-21,505.3999938964844,509.0,499.04998779296875,500.0,8474830
2024-08-22,504.54998779296875,508.5,501.45001220703125,507.8500061035156,8364290
2024-08-23,505.79998779296875,506.95001220703125,499.95001220703125,505.04998779296875,7891446
2024-08-26,505.70001220703125,508.0,502.0,506.0,7825037
2024-08-27,500.6000061035156,507.6000061035156,500.0,507.54998779296875,7954114
2024-08-28,497.29998779296875,502.29998779296875,496.5,500.3999938964844,7782216
2024-08-29,505.1000061035156,507.70001220703125,497.3500061035156,498.0,18670632
2024-08-30,501.8999938964844,509.1499938964844,500.20001220703125,501.95001220703125,14947670
2024-09-02,510.04998779296875,512.9000244140625,503.29998779296875,504.0,15885469
2024-09-03,509.3999938964844,515.9500122070312,507.8999938964844,510.04998779296875,12018677
