Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2024-07-01,11995.349609375,12145.283038710864,11893.21373680829,11932.294796188611,1134926
2024-07-02,11929.9169921875,12036.263098579684,11882.762772407392,12036.263098579684,687181
2024-07-03,12010.2099609375,12036.313018249937,11848.090839363724,12001.640511613003,467532
2024-07-04,11976.4775390625,12095.751346351904,11958.84428668628,12021.453119408712,299684
2024-07-05,11990.79296875,12023.88083401181,11909.412221609808,11956.220106319108,406926
2024-07-08,11911.0947265625,11998.667954281967,11854.034077025926,11990.742810322732,496933
2024-07-09,12707.671875,12838.684416599848,12149.295540409996,12209.675426980111,2114130
2024-07-10,12653.28515625,13175.55235746861,12613.511418873897,12828.876634096714,2070520
2024-07-11,12596.224609375,12802.872361101634,12576.262765095684,12680.230945906662,608983
2024-07-12,12444.953125,12551.348573910234,12358.271859452736,12501.915099502488,674746
2024-07-15,12525.640625,12649.02501590087,12472.195242212629,12482.10167211113,697186
2024-07-16,12521.2822265625,12678.249812039792,12464.023251494893,12524.700138585646,347810
2024-07-18,12525.7392578125,12561.353066655998,12346.383538622531,12514.792846298518,391216
2024-07-19,12407.1103515625,12591.07295637707,12379.521330048163,12531.634374364274,351955
2024-07-22,12522.9658203125,12540.500394892648,12284.022535293128,12383.03749660091,249631
2024-07-23,12510.8798828125,12615.789364297048,12244.347575077827,12600.979057847086,332258
2024-07-24,12370.4072265625,12544.711061883234,12341.629239909196,12515.784091804891,285860
2024-07-25,12392.15234375,12407.804310592961,12272.135550214918,12272.135550214918,396789
2024-07-26,12545.2060546875,12623.862529072783,12273.274548974312,12353.318310540808,537693
2024-07-29,12632.2333984375,12654.176527588648,12485.073576074967,12590.081732788762,388263
2024-07-30,12753.1923828125,12847.451489268788,12590.974582163948,12640.60541236953,526539
2024-07-31,12993.0751953125,13249.850053002183,12774.49039900514,12858.546070128472,836405
2024-08-01,13234.0498046875,13551.99688413468,12989.311633389905,13267.682329621035,2040384
2024-08-02,12726.400390625,13174.900390625,12673.0498046875,13126.0,1333355
2024-08-05,12200.849609375,12490.0,12027.650390625,12490.0,1131415
2024-08-06,12131.099609375,12554.900390625,12110.0,12390.0,623565
2024-08-07,12371.5,12450.0,12265.900390625,12399.0,433514
2024-08-08,12218.849609375,12392.7001953125,12152.150390625,12371.0,358577
2024-08-09,12224.2001953125,12390.0,12195.099609375,12390.0,320211
2024-08-12,12273.25,12370.0,12100.0,12200.0,291212
2024-08-13,12176.25,12340.0498046875,12122.0,12337.0,464483
2024-08-14,12205.650390625,12239.0,12130.0,12239.0,449827
2024-08-16,12213.2998046875,12343.9501953125,12111.0,12314.9501953125,552732
2024-08-19,12149.7998046875,12244.0498046875,12126.7998046875,12195.0,277319
2024-08-20,12214.9501953125,12310.0,12150.099609375,12160.5,471927
2024-08-21,12220.9501953125,12248.9501953125,12177.0498046875,12214.9501953125,295984
2024-08-22,12276.349609375,12325.0,12181.0,12280.0,501316
2024-08-23,12302.2998046875,12375.0498046875,12254.400390625,12300.0,440809
2024-08-26,12243.7998046875,12334.5,12222.0,12325.0,232805
2024-08-27,12496.900390625,12530.0,12225.099609375,12245.0,477609
2024-08-28,12357.5,12519.9501953125,12330.0,12500.0,313227
